vendor,is_digital,agencies,description,transaction_count,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,budget_codes_fy25,expense_categories_fy25,pct_confirmed_digital_fy25
DERIVE TECHNOLOGIES LLC,Digital,Administration for Children's Services; Board of Elections; Borough President - Manhattan; City Council; City University of New York; Civilian Complaint Review Board; Department of City Planning; Department of Citywide Administrative Services; Department of Correction; Department of Emergency Management; Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Probation; Department of Sanitation; Department of Small Business Services; Department of Social Services; Department of Transportation; Department of Veterans' Services; Office of Payroll Administration; Office of the Comptroller; Police Department; SCHOOL CONSTRUCTION AUTHORITY,"MBE certified IT support, data center management, government cybersecurity and healthcare IT",153,1907770,3407584,3657390,6763162,6168790,2812696,2539861,3661497,4393303,1488253,"0201 (40%, DEPARTMENTAL OPERATIONS); E706 (17%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 7823 (5%, CENTRAL PROGRAMS); 8100 (3%, CITYWIDE SUPPORT); 0702 (2%, INFORMATION SYSTEMS); 1602 (2%, R I TELECOMMUNICATIONS); E707 (2%, 040 E-2366); 4601 (2%, MANAGEMENT INFORMATION SYSTEMS); 9912 (2%, MANAGEMENT INFORMATION SYSTEMS); 0406 (1%, OPERATIONS/CONTRACTS)",DATA PROCESSING SUPPLIES (52%); ADMINISTRATIVE EXPENSES (11%); CONSTRUCTION-BUILDINGS (8%); PURCH DATA PROCESSING EQUIPT (6%); SUPPLIES + MATERIALS - GENERAL (4%); DATA PROCESSING EQUIPMENT MAINTENANCE (4%); PRINTING CONTRACTS (2%); EQUIPMENT GENERAL (2%); PROF SERV OTHER (2%); CONTRACTUAL SERVICES GENERAL (2%),0.0
ARTECH INFORMATION SYSTEMS LLC,Digital,Department of Information Technology and Telecommunications,"IT staffing with government services division (ArtechGov), security-cleared staffing for federal government",139,0,0,48474,12150,11750,1399446,3749191,6385050,3833022,265646,,,
COGENT Infotech Corporation,Digital,Department of Citywide Administrative Services; Department of Social Services,"IT staffing and consulting firm (est. 2003). Works with 65+ Fortune 500 companies, 70+ government agencies. Digital transformation, cloud, cybersecurity.",2,0,38116,99076,12642,0,0,14345,14053,3815856,8782885,"9911 (52%, DSS AGENCYWIDE AOTPS); 9912 (17%, MANAGEMENT INFORMATION SYSTEMS); 9424 (11%, OCSS AOTPS); M101 (5%, SPECIAL POPULATION AOTPS); CR27 (3%, ARPA ACL - APS GRANT #3); NGEN (3%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 9933 (2%, PA AOTPS); 9920 (1%, CEO - EVALUATION); 9935 (1%, PSA-AOTPS); 9904 (1%, HHS-CONNECT OTPS)",PROF SERV OTHER (97%); CAPITAL PURCHASED EQUIPMENT (3%),0.0
UNIQUE COMP INC,Digital,Administration for Children's Services; City University of New York; Department of Citywide Administrative Services; Department of Education; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications,"Minority/woman-owned IT solutions, custom software development, system integration",29,172250,35725,57893,1039852,3952374,8142615,6860912,6164497,3802478,4939729,"7719 (31%, DIIT); 6633 (17%, MANAGEMENT INFORMATION SYSTEM); NGEN (15%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); MSME (8%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); 0711 (5%, PUBLIC SAFETY IT SERVICES); 2620 (4%, DYFJ RAISE THE AGE); 4130 (4%, HEALTHY HOMES PROGRAM); 3131 (3%, APPLICATIONS); Z902 (3%, PROGRAM SUPPORT); 8488 (3%, NYC CHILDHOOD LEAD POISONING PREVENT)",PROF SERV COMPUTER SERVICES (56%); CAPITAL PURCHASED EQUIPMENT (23%); CONTRACTUAL SERVICES GENERAL (15%); DATA PROCESSING EQUIPMENT MAINTENANCE (4%); TEMPORARY SERVICES (2%),56.0
PEER CONSULTING RESOURCES INC,Digital,Department of Citywide Administrative Services; Department of Education; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Small Business Services; Department of Social Services; Housing Preservation and Development; NYC Taxi and Limousine Commission; Office of Administrative Trials and Hearings,"Women/minority-owned IT consulting, digital transformation, custom application development, quality assurance",26,17400,0,0,21994,186749,464391,770462,1861534,3578006,4258782,"MSME (15%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); NGEN (14%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 1330 (12%, SMALL BUSINESS PORTAL - IT/TECH); 7413 (8%, FINANCIAL SYSTEMS AND BUSINESS OPS); CONC (6%, TLC CONNECT UPGRADE, PROFESSIONAL SERVIC); 1290 (6%, DCAS IT); 0201 (6%, EXECUTIVE AND ADMINISTRATIVE); 7701 (5%, DIVISION OF FINANCE OPERATIONS); 4648 (5%, GE CENTRAL MANAGED SCH SUPP); 7719 (4%, DIIT)",PROF SERV COMPUTER SERVICES (51%); CAPITAL PURCHASED EQUIPMENT (31%); CONTRACTUAL SERVICES GENERAL (8%); SPLIT FUNDED SBITA (6%); PROF SERV OTHER (3%); DATA PROCESSING EQUIPMENT MAINTENANCE (1%); DATA PROCESSING SUPPLIES (0%); PROMPT PAYMENT INTEREST (0%),51.0
KYNDRYL INC,Digital,Department of Information Technology and Telecommunications; Financial Information Services Agency,"IT infrastructure services (IBM spin-off 2021), cloud, digital transformation, network services",2,0,0,0,0,0,0,214760,2975427,3417276,3269994,"3200 (90%, IU - MAINFRAME); 0101 (10%, INTERNAL AUDIT)",PROF SERV COMPUTER SERVICES (96%); CONTRACTUAL SERVICES GENERAL (4%),96.0
ABRAHAMS CONSULTING LLC,Digital,Administration for Children's Services; Department of Correction; Department of Design and Construction; Department of Education; Department of Environmental Protection; Department of Finance; Department of Information Technology and Telecommunications; Department of Sanitation; Department of Transportation; Law Department; NYC Taxi and Limousine Commission; Office of the Comptroller; Police Department,"8a certified EDWOSB, IT solutions: storage, networking, security for government",37,734252,922060,854199,1608628,2423132,1106252,1495995,1125480,3173187,2807235,"3131 (52%, APPLICATIONS); 1601 (13%, MANAGEMENT INFO SVCS); 1200 (8%, DEPUTY COMM ADMIN); 3310 (6%, INFRASTRUCTURE TECH ARCHITECTURE); 6633 (3%, MANAGEMENT INFORMATION SYSTEM); 2753 (3%, FFY21 URBAN AREA SECURITY INITIATIVE); 7390 (2%, BUR BUD & CONTRACT MNGMT); 0201 (2%, EXECUTIVE AND ADMINISTRATIVE); NWPR (2%, DOC; PURCHASE 100 NETWORKED WI-FI ACCESS); 1409 (2%, INFORMATION SECURITY)",PROF SERV COMPUTER SERVICES (65%); MAINT & REP GENERAL (13%); PROF SERV OTHER (9%); DATA PROCESSING SUPPLIES (7%); CAPITAL PURCHASED EQUIPMENT (3%); DATA PROCESSING EQUIPMENT MAINTENANCE (1%); CONTRACTUAL SERVICES GENERAL (1%); SUPPLIES + MATERIALS - GENERAL (0%); PROMPT PAYMENT INTEREST (0%); EQUIPMENT GENERAL (0%),65.0
POWERSCHOOL GROUP LLC,Digital,City University of New York; Department of Education; Department of Information Technology and Telecommunications,"K-12 education software platform: student information systems, LMS, school management",307,500,903369,1174533,2208719,2329371,3526852,3825819,2943670,3025719,2246440,"8204 (45%, SESIS - I/C); 8843 (28%, REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS); 4601 (14%, GE INSTRUCTION & SCHOOL SUPERVISION - HS); 4615 (5%, NYSTL - HIGH SCHOOL); 4301 (2%, GE INST & SCHOOL SUPERVISION ELE/MIDDLE); 2304 (1%, NYSTL-CHARTER SCHOOLS); 4605 (1%, INSTRUCTIONAL SUPPORT SERVICES - HS); 8489 (1%, GE REIMBURSABLE SUPPORT); 4305 (1%, INSTRUCTIONAL SUPPORT SERV - ELEM / MID); 7000 (1%, HUNTER CAMPUS SCHOOLS)",DATA PROCESSING SUPPLIES (45%); DATA PROCESSING EQUIPMENT MAINTENANCE (42%); OTHR SERV AND CHRGS-GENERAL (6%); SUPPLIES + MATERIALS - GENERAL (2%); CONTRACTUAL SERVICES GENERAL (2%); TELEPHONE & OTHER COMMUNICATNS (1%); TELECOMMUNICATIONS MAINT (1%); PROF SERV OTHER (0%); PROF SERV CURRIC & PROF DEVEL (0%); PROF SERV DIRECT EDUC SERV (0%),0.0
PORTLAND WILLIAMS LLC,Digital,Department of Buildings; Department of Citywide Administrative Services; Department of Environmental Protection; Department of Information Technology and Telecommunications; Department of Sanitation; Department of Transportation; Health and Hospitals Corporation,"Engineering and IT services for government agencies, construction and IT consulting",33,0,0,0,0,0,0,344473,1928489,2930740,5703920,"U123 (48%, DEP; UPSTATE WASTEWATER TREATMENT PLANTS); 616C (9%, CAP TO EXP BWT SPARE PARTS); WTQU (9%, DEP, KINGSTON LABS (UPSTATE), LEFRAK LAB); 1300 (6%, NYC CYBER COMMAND); 1084 (5%, INFORMATION TECHNOLOGY-OTPS); 0284 (4%, W S WASTE WATER COLLECTION); M001 (4%, ASLYUM SUPPORT); 0457 (2%, BWT REGULATORY COMPLIANCE); 0711 (2%, PUBLIC SAFETY IT SERVICES); 0415 (2%, BWT EQUIPMENT)","CAPITAL PURCHASED EQUIPMENT (57%); EQUIPMENT GENERAL (15%); OTHR SERV AND CHRGS-GENERAL (9%); PURCH DATA PROCESSING EQUIPT (7%); DATA PROCESSING EQUIPMENT MAINTENANCE (6%); MEDICAL,SURGICAL & LAB EQUIP (2%); MAINT & REP MOTOR VEH EQUIP (2%); SUPPLIES + MATERIALS - GENERAL (2%); PRINTING SUPPLIES (1%); OFFICE EQUIPMENT MAINTENANCE (0%)",0.0
OPTINET COMMUNICATIONS INC,Digital,Department of Education; Department of Environmental Protection; Department of Information Technology and Telecommunications; Department of Transportation; Fire Department,"Minority-owned IT consulting for public safety and local government, Metro Area Infrastructure design/deployment/security",11,0,0,0,0,0,0,0,398905,2782799,3978801,"3310 (46%, INFRASTRUCTURE TECH ARCHITECTURE); 1054 (13%, MANAGEMENT INFORMATION SERVICE); 7719 (8%, DIIT); FWLL (8%, OTI FIREWALL UPGRADE IT EQUIPMENT SYSTEM); 3320 (7%, IT SERVICES - NETWORK ARCHITECTURE); CDIB (7%, OTI: CLOUD INTERCONNECT UPGRADE: SITE SP); FDT1 (7%, OFFICE OF TECHNOLOGY AND INNOVATION (CIT); 4181 (0%, TRAFFIC INTELLIGENCE DIVISION)",PROF SERV COMPUTER SERVICES (61%); CAPITAL PURCHASED EQUIPMENT (22%); DATA PROCESSING EQUIPMENT MAINTENANCE (13%); PROF SERV OTHER (1%),61.0
ISLAND COMPUTER PRODUCTS INC,Mixed,City University of New York; Department of City Planning; Department of Education; Department of Information Technology and Telecommunications; Department of Social Services; Police Department; SCHOOL CONSTRUCTION AUTHORITY,"WBE certified IT products + services: server consolidation, systems monitoring, software distribution. Related entry: ISLAND COMPUTER PRODUCTS INC ICP INC (Primary)",132,0,0,0,0,0,0,0,0,2782091,1701605,"03DT (25%, CITY COUNCIL FUNDING FOR DOE PUBLIC SCHO); 0711 (21%, PUBLIC SAFETY IT SERVICES); 6800 (9%, HOSTOS COMMUNITY COLLEGE); 6347 (7%, EOC- BRONX COMMUNITY COLLEGE); 6300 (7%, BRONX COMMUNITY COLLEGE); 03XT (6%, RESO A BRONX BOROUGH PRESIDENT FUNDUNG F); 3350 (5%, IT OPERATION); 7719 (5%, DIIT); 03MT (5%, RESO A MANHATTAN BOROUGH PRESIDENT FUNDI); 03KT (3%, RESO A BROOKLYN BOROUGH PRESIDENT FUNDIN)",CONSTRUCTION-BUILDINGS (42%); CONTRACTUAL SERVICES GENERAL (21%); PURCH DATA PROCESSING EQUIPT (21%); PROF SERV COMPUTER SERVICES (11%); OFFICE EQUIPMENT (3%); TELECOMMUNICATIONS MAINT (1%); DATA PROCESSING EQUIPMENT MAINTENANCE (1%); DATA PROCESSING SUPPLIES (1%); OTHR SERV AND CHRGS-GENERAL (0%); SUPPLIES + MATERIALS - GENERAL (0%),11.0
ITEGIX LLC,Mixed,Campaign Finance Board; Department for the Aging; Department of Buildings; Department of City Planning; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Cultural Affairs; Department of Design and Construction; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Sanitation; Department of Social Services; Department of Transportation; Department of Veterans' Services; Financial Information Services Agency; Mayoralty; NYC Taxi and Limousine Commission; Office of Payroll Administration; Office of the Comptroller; Police Department,IT value-added reseller (VAR) - hardware + technology products and services,198,0,0,649652,1128476,1718971,1302134,2227803,2497167,2434976,2386456,"1084 (18%, INFORMATION TECHNOLOGY-OTPS); 4601 (7%, MANAGEMENT INFORMATION SYSTEMS); 9912 (5%, MANAGEMENT INFORMATION SYSTEMS); 3314 (4%, IU - FAMILY JUSTICE CENTER IC); 3001 (4%, SCHOOL SAFETY DIVISION); 9911 (4%, DSS AGENCYWIDE AOTPS); 9116 (4%, LICENSE PLATE READER); 0101 (4%, INTERNAL AUDIT); 2201 (4%, TECHNICAL ASSISTANCE RESPONSE UNIT); 5200 (3%, TELECOM SERVICES - I/C)","DATA PROCESSING SUPPLIES (27%); PURCH DATA PROCESSING EQUIPT (22%); EQUIPMENT GENERAL (16%); DATA PROCESSING EQUIPMENT MAINTENANCE (11%); SUPPLIES + MATERIALS - GENERAL (11%); PRINTING SUPPLIES (3%); TRAINING PRGM CITY EMPLOYEES (3%); OTHR SERV AND CHRGS-GENERAL (2%); MEDICAL,SURGICAL & LAB SUPPLY (2%); MAINTENANCE SUPPLIES (1%)",0.0
DONNELLY & MOORE CORPORATION,Digital,Department of Citywide Administrative Services; Department of Finance; Department of Information Technology and Telecommunications; SCHOOL CONSTRUCTION AUTHORITY,"MWBE/EDWOSB/GSA 8(a) STARS II certified, IT and cybersecurity staffing for government/enterprise",77,0,0,0,0,626562,1401491,1591059,1920139,2429548,2907652,"E707 (39%, 040 E-2366); 0711 (10%, PUBLIC SAFETY IT SERVICES); 0104 (10%, MANAGEMENT INFORMATION SERVICE); PAM2 (9%, OTI PRIVILEGED ACCESS MGMT (PAM) PHASE 2); NGEN (8%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); E706 (8%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 1300 (7%, NYC CYBER COMMAND); 8811 (6%, MYCITY PROJECT); MSME (4%, OTI: MYCITY APPLICATION DEVELOPMENT INCL)",ADMINISTRATIVE EXPENSES (46%); PROF SERV COMPUTER SERVICES (33%); CAPITAL PURCHASED EQUIPMENT (11%); CAPITAL ONLY FUNDED SBITA (9%); PROF SERV OTHER (0%),42.0
Mola Group Corp,Mixed,Administration for Children's Services; Department of Citywide Administrative Services; Department of Correction; Department of Design and Construction; Department of Education; Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Sanitation; Department of Social Services; Financial Information Services Agency; Fire Department; Housing Preservation and Development; Mayoralty; Office of the Comptroller; Police Department,"Minority/DBE certified IT solutions: cloud computing, information security",29,0,0,150782,503828,974902,1452580,1361666,2359548,2257616,11308246,"LRSU (27%, OTI PUBLIC SAFETY LOGGING AND RECORDING); DLAN (14%, FISA-OPA SHARED SYSTEMS DATA CENTER LAN); 0711 (10%, PUBLIC SAFETY IT SERVICES); 9912 (6%, MANAGEMENT INFORMATION SYSTEMS); 4601 (4%, MANAGEMENT INFORMATION SYSTEMS); 3350 (4%, IT OPERATION); 1602 (3%, R I TELECOMMUNICATIONS); WRKS (3%, OMB: COMPUTER IT EQUIPMENT SYSTEM UPGRAD); 6633 (3%, MANAGEMENT INFORMATION SYSTEM); CYBE (3%, HRA; PROCURE HARDWARE, SOFTWARE & PROFES)",CAPITAL PURCHASED EQUIPMENT (49%); DATA PROCESSING EQUIPMENT MAINTENANCE (31%); DATA PROCESSING SUPPLIES (5%); PURCH DATA PROCESSING EQUIPT (5%); PROF SERV COMPUTER SERVICES (5%); OTHR SERV AND CHRGS-GENERAL (3%); OFFICE EQUIPMENT MAINTENANCE (1%); CONTRACTUAL SERVICES GENERAL (1%); MAINT & REP GENERAL (0%); EQUIPMENT GENERAL (0%),5.0
MOBILITY CAPITAL FINANCE INC,Digital,Department of Information Technology and Telecommunications; Housing Preservation and Development,"Fintech company - digital banking platform, mobile banking app for government cash assistance programs (MoCaFi)",4,0,0,0,0,0,0,0,965000,2072270,2534134,"M013 (88%, MOCAFI); 8811 (12%, MYCITY PROJECT)",CONTRACTUAL SERVICES GENERAL (88%); OTHR SERV AND CHRGS-GENERAL (12%),0.0
EXPEDIENT STAFFING SOLUTIONS,Digital,Department of Health and Mental Hygiene,"Founded 2002, WBE/EDWOSB certified staffing company, workforce solutions for Contact Centers, Technology, and Finance",5,0,0,0,0,7500,11353727,10908851,9048677,2035175,15000,"1150 (100%, INFORMATION TECHNOLOGY)",CONTRACTUAL SERVICES GENERAL (100%),0.0
RAJ SOMAS,Mixed,Department of City Planning; Department of Citywide Administrative Services; Department of Education; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Social Services; Department of Transportation; Financial Information Services Agency; Fire Department; Mayoralty; Office of Payroll Administration; Police Department,"SAP and Kissflow consulting, software licensing reseller. NY State MWBE contractor.",23,0,0,0,300541,616180,686514,953615,974945,1979943,5906161,"MYBP (17%, OTI: MYCITY BUSINESS PORTAL WEBSITE DEVE); PASG (14%, FISA-OPA: IT EQUIPMENT SYSTEM UPGRADE OF); 3310 (13%, INFRASTRUCTURE TECH ARCHITECTURE); 3350 (8%, IT OPERATION); 0101 (8%, INTERNAL AUDIT); 4120 (5%, SIGNAL MAINTENANCE); 5000 (5%, CITYTIME); 4222 (5%, FFY 2022 STATE HOMELAND SECURITY GRANT); 2000 (4%, NYCAPS); 9912 (3%, MANAGEMENT INFORMATION SYSTEMS)",DATA PROCESSING EQUIPMENT MAINTENANCE (49%); CAPITAL ONLY FUNDED SBITA (31%); EQUIPMENT GENERAL (8%); DATA PROCESSING SUPPLIES (3%); BOOKS-OTHER (3%); OTHR SERV AND CHRGS-GENERAL (1%); PURCH DATA PROCESSING EQUIPT (1%); MAINTENANCE SUPPLIES (0%); PROF SERV CURRIC & PROF DEVEL (0%); TRAINING PRGM CITY EMPLOYEES (0%),31.0
TEK SYSTEMS INC,Digital,Department of Citywide Administrative Services; Health and Hospitals Corporation,"Major IT staffing company (part of Allegis Group), deploys 70,000+ technical professionals annually",13,12066114,15781977,18937079,41453048,43910022,5155384,3466030,3428460,1831870,349847,"JA07 (51%, HHC: UPGRADE INTEGRATED CLINICAL INFORMA); W4UP (40%, NYCAPS & PAYROLL MANAGEMENT SYSTEM (PMS)); JG32 (6%, HHC: SYSTEMWIDE: NETWORK IT UPGRADE: IMP); NGEN (4%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG)",CAPITAL PURCHASED EQUIPMENT (100%),0.0
BLENDERBOX INC,Digital,Department of Education; Department of Environmental Protection; Department of Small Business Services; Office of Administrative Trials and Hearings,"Woman-owned digital agency (founded 2000), WOSB certified, human-centered design for government systems",11,48738,27586,1944722,1910088,1219315,3193617,1635503,2594353,1789455,705924,"7272 (54%, OFFICE OF STATE PORTFOLIO AND POLICY); 7105 (21%, DIVISION OF COMMUNITY ENGAGEMENT); L481 (11%, ARPA FOR LEARNING LOSS); 7205 (6%, OFFICE OF PUBLIC AFFAIRS); 1117 (4%, SUPPORT FOR WOMEN ENTREPRENEURS); 2003 (3%, CRIMINAL JUSTICE REFORM); 7265 (1%, OFFICE OF LEGAL SERVICES); 2325 (0%, HOME SOLAR ACCELERATOR)",PROF SERV OTHER (79%); PROF SERV COMPUTER SERVICES (14%); DATA PROCESSING SERVICES (4%); CONTRACTUAL SERVICES GENERAL (3%),14.0
"MAUREEN DATA SYSTEMS, INC.",Digital,Borough President - Manhattan; City Council; City University of New York; Department of Buildings; Department of City Planning; Department of Citywide Administrative Services; Department of Design and Construction; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Sanitation; Department of Social Services; Department of Transportation; Financial Information Services Agency; Law Department; Mayoralty,"WBE certified IT services with GSA and NYS OGS contracts, cloud infrastructure, security, data analytics, managed services",61,2155080,1642431,1359229,1398148,2648865,3512535,1722154,3097104,1673777,1932243,"IS24 (19%, DCAS: PURCHASE DESKTOP COMPUTERS IT EQUI); 2001 (14%, OTPS CENTRAL STAFF); 6615 (13%, BMCC TECHNOLOGY FEES); 1300 (13%, NYC CYBER COMMAND); 0101 (5%, INTERNAL AUDIT); 6823 (4%, INFORMATION TECHNOLOGY); 6610 (3%, ADULT CONTINUING EDUCATION SR); 4170 (2%, MANAGEMENT INFORMATION SYSTEMS); 1084 (2%, INFORMATION TECHNOLOGY-OTPS); 4125 (2%, STREET LIGHTING)",PURCH DATA PROCESSING EQUIPT (27%); CAPITAL PURCHASED EQUIPMENT (19%); PROF SERV OTHER (13%); DATA PROCESSING EQUIPMENT MAINTENANCE (13%); DATA PROCESSING SUPPLIES (8%); OTHR SERV AND CHRGS-GENERAL (8%); EXPENSE ONLY FUNDED SBITA (5%); PROF SERV COMPUTER SERVICES (1%); MAINT & REP GENERAL (1%); SPLIT FUNDED SBITA (1%),6.0
CNC CONSULTING INC,Digital,Administration for Children's Services; Department of Education; Department of Information Technology and Telecommunications; Department of Social Services; SCHOOL CONSTRUCTION AUTHORITY,"Founded 1995, IT staff augmentation and consulting, specializes in State and Federal government IT solutions",10,706638,591063,418889,713413,345102,498183,1013133,1049802,1603374,1625744,"1300 (32%, NYC CYBER COMMAND); E706 (20%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 3800 (18%, IT SECURITY); 7719 (9%, DIIT); 9940 (6%, DHS ITS); 9912 (6%, MANAGEMENT INFORMATION SYSTEMS); 9580 (4%, PUBLIC ENGAGEMENT AOTPS); 6633 (4%, MANAGEMENT INFORMATION SYSTEM)",PROF SERV COMPUTER SERVICES (80%); CONSTRUCTION-BUILDINGS (20%),80.0
KAMBRIAN CORPORATION,Mixed,Administration for Children's Services; Department of Citywide Administrative Services; Department of Correction; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Office of the Comptroller; Police Department,"WOSB IT MSP and VAR (hardware/software reseller + services), GSA MAS 8a Pool and GSA 8a STARS3 contracts",20,0,0,0,0,30794,166999,688620,884352,1556897,1942882,"1409 (54%, INFORMATION SECURITY); 1054 (20%, MANAGEMENT INFORMATION SERVICE); 8811 (10%, MYCITY PROJECT); 1150 (4%, INFORMATION TECHNOLOGY); 4130 (3%, HEALTHY HOMES PROGRAM); 0702 (2%, INFORMATION SYSTEMS); 6633 (2%, MANAGEMENT INFORMATION SYSTEM); 1015 (1%, GOV EDUCATIONAL ACCESS GRANT); 1602 (1%, R I TELECOMMUNICATIONS); 6823 (1%, INFORMATION TECHNOLOGY)",OTHR SERV AND CHRGS-GENERAL (54%); DATA PROCESSING EQUIPMENT MAINTENANCE (22%); PROF SERV COMPUTER SERVICES (10%); DATA PROCESSING SUPPLIES (9%); PURCH DATA PROCESSING EQUIPT (1%); CONTRACTUAL SERVICES GENERAL (1%); EXPENSE ONLY FUNDED SBITA (1%); EQUIPMENT GENERAL (1%); SUPPLIES + MATERIALS - GENERAL (0%),11.0
AVENUES INTERNATIONAL INC,Digital,Administration for Children's Services; Campaign Finance Board; Department of City Planning; Department of Citywide Administrative Services; Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Social Services; Department of Transportation; Housing Preservation and Development,"MBE certified IT staffing & consulting firm since 1994, Prime contractor under NY State HBITS contract",25,0,0,0,533395,571929,1362292,1225200,823220,1118990,1376143,"6121 (27%, INFORMATION TECHNOLOGY); 1015 (17%, GOV EDUCATIONAL ACCESS GRANT); 4300 (13%, SAFETY ENGINEERING); 1003 (8%, PUBLIC AFFAIRS); 6143 (6%, TOXICOLOGY); 1054 (5%, MANAGEMENT INFORMATION SERVICE); 8955 (5%, IN REM PROGRAM); 6182 (3%, JAG LOCAL GRANT); 1150 (3%, INFORMATION TECHNOLOGY); 4148 (2%, INTERSECTION CONTROL UNIT)",MAINT & REP GENERAL (27%); TELECOMMUNICATIONS EQUIPMENT (17%); CONTRACTUAL SERVICES GENERAL (10%); PROF SERV COMPUTER SERVICES (10%); DATA PROCESSING EQUIPMENT MAINTENANCE (9%); OTHR SERV AND CHRGS-GENERAL (8%); BOOKS-OTHER (5%); PROF SERV OTHER (5%); DATA PROCESSING SUPPLIES (4%); POSTAGE (1%),10.0
NYC IT INC,Mixed,Administration for Children's Services; Department of Environmental Protection; Department of Information Technology and Telecommunications; Mayoralty,IT hardware/software procurement + IT staffing services,14,0,155340,312307,325558,254711,300659,306506,552069,921379,1113054,"6633 (57%, MANAGEMENT INFORMATION SYSTEM); MSME (31%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); 8811 (9%, MYCITY PROJECT); 8100 (1%, CITYWIDE SUPPORT); 3334 (1%, GREEN INFRASTRUCTURE); 0239 (1%, BWS BIT FUNDING); 3814 (0%, OFF OF OPERATIONS); 0525 (0%, UNIVERSAL METERING OTPS)",PROF SERV COMPUTER SERVICES (63%); CAPITAL PURCHASED EQUIPMENT (31%); PROF SERV OTHER (3%); DATA PROCESSING EQUIPMENT MAINTENANCE (1%); SUPPLIES + MATERIALS - GENERAL (1%); PURCH DATA PROCESSING EQUIPT (0%); DATA PROCESSING SUPPLIES (0%); OFFICE EQUIPMENT (0%),63.0
UNIVERSAL MANAGEMENT TECHNOLOGY SOLUTIONS INC,Digital,Department of Information Technology and Telecommunications,"IT consulting, cloud migration, software asset management, strategic sourcing for government",1,0,0,0,0,1013320,907578,950796,235298,877590,0,,,
"COMPCITI BUSINESS SOLUTIONS, INC.",Digital,City University of New York; Department of Design and Construction; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Financial Information Services Agency; Housing Preservation and Development; Office of Payroll Administration,"Managed IT services for NYC government, cybersecurity, compliance, networking",25,80643,427400,162234,324611,304245,557339,792200,667872,857493,981222,"3601 (25%, WIRELESS - NYCWIN); 3131 (18%, APPLICATIONS); 7624 (9%, SEC 8 PROFESSIONAL MEMBERSHIP); 1101 (8%, 311 - CITY); 0711 (7%, PUBLIC SAFETY IT SERVICES); 0101 (5%, INTERNAL AUDIT); 1300 (5%, NYC CYBER COMMAND); 1000 (4%, EXECUTIVE MANAGEMENT); 3200 (4%, IU - MAINFRAME); 2000 (3%, NYCAPS)",DATA PROCESSING EQUIPMENT MAINTENANCE (61%); OTHR SERV AND CHRGS-GENERAL (11%); CONTRACTUAL SERVICES GENERAL (9%); PURCH DATA PROCESSING EQUIPT (7%); TELECOMMUNICATIONS EQUIPMENT (6%); DATA PROCESSING SUPPLIES (3%); EXPENSE ONLY FUNDED SBITA (2%); EQUIPMENT GENERAL (1%); OFFICE FURNITURE (0%); SUPPLIES + MATERIALS - GENERAL (0%),2.0
ZAASS LLC,Digital,Department of Citywide Administrative Services; Department of Information Technology and Telecommunications; Department of Sanitation,"IT staffing, Salesforce consulting, application development, cloud services, M/WBE certified",6,0,0,0,0,19900,0,116000,226958,802965,1339434,"MSME (33%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); NGEN (24%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 1084 (22%, INFORMATION TECHNOLOGY-OTPS); 3131 (16%, APPLICATIONS); 8811 (6%, MYCITY PROJECT)",CAPITAL PURCHASED EQUIPMENT (56%); PROF SERV COMPUTER SERVICES (35%); CONTRACTUAL SERVICES GENERAL (8%); PROF SERV OTHER (0%),35.0
