budget_code,budget_name,is_digital,description,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,top_expense_categories_fy25,top_vendors_fy25,pct_confirmed_digital_fy25
3851,STRATEGIC INITIATIVES,Mixed,"IT Operations: Strategic initiatives - 100% IT vendors: CNC Consulting (40%), Gartner (40%), Unique Comp (13%), CDW (5%). Clear digital services.",0,0,0,0,0,0,0,43833,433234,4127954,Payroll Summary (60%); PROF SERV OTHER (40%); OTHR SERV AND CHRGS-GENERAL (0%); TRAINING PRGM CITY EMPLOYEES (0%); DATA PROCESSING EQUIPMENT MAINTENANCE (0%),TECHNOLOGY SERVICES - PS (60%); DELOITTE CONSULTING LLP (35%); KPMG LLP (5%); COMPULINK TECHNOLOGIES INC (0%); LEARNING TREE INTERNATIONAL USA INC (0%); DELL MARKETING LP (0%),0.0
9195,OFFICE OF INFORMATION TECHNOLOGY,Digital,"IT Operations: Office of Information Technology - 84% to IT vendors: CDW (63%), RELX (8%), World Wide Tech (6%), SHI (3%). Clear digital services.",52265,95247,107949,304783,31091,245637,1751049,5720504,5866198,5913483,DATA PROCESSING EQUIPMENT MAINTENANCE (53%); CONTRACTUAL SERVICES GENERAL (15%); BOOKS-OTHER (10%); OTHR SERV AND CHRGS-GENERAL (6%); EXPENSE ONLY FUNDED SBITA (6%); DATA PROCESSING SUPPLIES (3%); PROF SERV OTHER (3%); PURCH DATA PROCESSING EQUIPT (2%); TELECOMMUNICATIONS MAINT (1%); SUPPLIES + MATERIALS - GENERAL (0%),CDW GOVERNMENT LLC (42%); WORLD WIDE TECHNOLOGY LLC (14%); SAVANT FINANCIAL TECHNOLOGIES INC (9%); SECURITY MANAGEMENT SYSTEMS INC (6%); FUND FOR PUBLIC HEALTH IN NEW YORK INC (6%); ABT ASSOCIATES INC (6%); RELX INC (5%); COMPULINK TECHNOLOGIES INC (2%); SHI INTERNATIONAL CORP (2%); MASON TECHNOLOGIES INC (1%),6.0
9580,PUBLIC ENGAGEMENT AOTPS,Digital,"IT Operations: Public Engagement OTPS - 63% to IT vendors: Prutech Solutions (20%), SHI (15%), CDW (15%), Universal Technologies (8%). Clear digital services.",340646,1422913,5095954,3227807,3372374,4759479,5825713,3026223,3735439,5415029,PROF SERV COMPUTER SERVICES (41%); BOOKS-OTHER (26%); DATA PROCESSING EQUIPMENT MAINTENANCE (12%); ADVERTISING (12%); PURCH DATA PROCESSING EQUIPT (5%); SUPPLIES + MATERIALS - GENERAL (3%); EXPENSE ONLY FUNDED SBITA (1%); OTHR SERV AND CHRGS-GENERAL (0%); DATA PROCESSING SUPPLIES (0%); OFFICE EQUIPMENT MAINTENANCE (0%),"SHI INTERNATIONAL CORP (25%); PRUTECH SOLUTIONS, INC (19%); CDW GOVERNMENT LLC (12%); UNIVERSAL TECHNOLOGIES, LLC (8%); CREATIVE JUGOS LLC (6%); COMPULINK TECHNOLOGIES INC (6%); ENTERPRISE PEOPLE INC (5%); RCI TECHNOLOGIES INC (4%); ZEBRA STRATEGIES (3%); ManpowerGroup Public Sector, Inc. (3%)",42.0
DLAN,FISA-OPA SHARED SYSTEMS DATA CENTER LAN,Digital,"IT Operations: Data center LAN for FISA-OPA shared systems - 100% IT vendors: CDW (57%), SHI (28%), Dell (8%), World Wide Tech (7%). Clear digital services.",0,0,0,0,0,0,0,1416360,2420041,1635896,CAPITAL PURCHASED EQUIPMENT (100%),Mola Group Corp (100%),0.0
E012,HURRICANE SANDY CONDUIT PROJECT,Digital,"IT Operations: Hurricane Sandy IT infrastructure recovery - 92% IT vendors: CDW (49%), Mason Technologies (23%), SHI (16%), World Wide Tech (4%). Clear digital services.",974691,34474,685932,1056644,1321745,5306963,1183642,6916576,6713849,6682037,SUPPLIES + MATERIALS - GENERAL (80%); DATA PROCESSING EQUIPMENT MAINTENANCE (16%); MAINT & REP GENERAL (3%); MAINTENANCE SUPPLIES (2%); PROMPT PAYMENT INTEREST (0%),"MASON TECHNOLOGIES INC (86%); SHI INTERNATIONAL CORP (6%); ANIXTER INC (3%); PURVIS SYSTEMS, INCORPORATED (3%); GRANT INT'L CO INC GRANT ELECTRICAL SUPPLIES (2%); WW GRAINGER INC (0%); FASTENAL COMPANY (0%)",0.0
FDT1,OFFICE OF TECHNOLOGY AND INNOVATION,Digital,"IT Operations: Office of Technology and Innovation - 90% IT vendors: CDW (72%), SHI (10%), Gandiva Networks (8%). Clear digital services.",0,0,0,0,0,0,0,48160597,4221996,2645157,CAPITAL PURCHASED EQUIPMENT (100%),"CDW GOVERNMENT LLC (48%); RANGAM CONSULTANTS INC (16%); OPTINET COMMUNICATIONS INC (11%); Visionaryz Inc (9%); STRATFORD SOLUTIONS INC (9%); AMMALUIT CORP (5%); AZH CONSTRUCTION & CONSULTING CORP (1%); GANDIVA NETWORKS, INC. (0%)",0.0
0239,BWS BIT FUNDING,Digital,"IT Operations: Bureau Water Supply Business Intelligence Technology - Small budget ($136K), 100% IT vendors (Metropolitan Office, Compulink, Maureen Data, Empire Electronics). Clear digital services.",0,0,0,0,0,0,0,110338,136209,108315,DATA PROCESSING SUPPLIES (48%); PURCH DATA PROCESSING EQUIPT (36%); DATA PROCESSING EQUIPMENT MAINTENANCE (15%); SUPPLIES + MATERIALS - GENERAL (1%),"MAUREEN DATA SYSTEMS, INC. (18%); METROPOLITAN OFFICE & COMPUTER SUPPLIES INC (18%); CORPORATE COMPUTER SOLUTIONS INC (17%); CARE SECURITY SYSTEMS INC (14%); SHI INTERNATIONAL CORP (13%); EMPIRE ELECTRONICS INC (10%); NYC IT INC (6%); COMPULINK TECHNOLOGIES INC (4%)",0.0
4648,GE CENTRAL MANAGED SCH SUPP,Mixed,"DOE GE Central Managed School Support - 35% personnel, but $57M telecom (Crown Castle, Manhattan Telecom, Verizon).",187576453,206654910,237121154,252757119,223732013,183277906,171472706,170438538,200109820,266450893,Payroll Summary (30%); TELEPHONE & OTHER COMMUNICATNS (19%); PROF SERV DIRECT EDUC SERV (13%); PROF SERV CURRIC & PROF DEVEL (7%); SUPPLIES + MATERIALS - GENERAL (6%); OTHR SERV AND CHRGS-GENERAL (6%); PROF SERV OTHER (6%); TELECOMMUNICATIONS MAINT (4%); PROF SERV COMPUTER SERVICES (3%); PRINTING CONTRACTS (2%),"GE INSTR & SCH LEADERSHIP - PS (30%); CROWN CASTLE FIBER LLC (13%); MANHATTAN TELECOMMUNICATIONS CORPORATION (3%); THE REMI GROUP LLC (3%); NEW YORK CITY BOARD OF EDUCATION (3%); GOOD SHEPHERD SERVICES (2%); COLLEGE BOARD (2%); VERIZON BUSINESS NETWORK SERVICES LLC (2%); PRUTECH SOLUTIONS, INC (2%); VANGUARD DIRECT INC (2%)",3.0
7719,DIIT,Mixed,"DIIT (DOE Div of Instructional & Info Tech) - 51% personnel, but $46M real IT: Presidio, CDW, SHI, Dell.",50813284,42407484,42795076,37364588,52449398,45790741,75453178,64269026,64507829,147303449,Payroll Summary (30%); SUPPLIES + MATERIALS - GENERAL (29%); PROF SERV COMPUTER SERVICES (28%); DATA PROCESSING EQUIPMENT MAINTENANCE (10%); TELEPHONE & OTHER COMMUNICATNS (2%); EQUIPMENT GENERAL (1%); TEMPORARY SERVICES (0%); OTHR SERV AND CHRGS-GENERAL (0%); TELECOMMUNICATIONS MAINT (0%); PROF SERV CURRIC & PROF DEVEL (0%),"CENTRAL ADMINISTRATION - PS (30%); CDW GOVERNMENT LLC (15%); NAGARRO INC (10%); PRESIDIO NETWORKED SOLUTIONS GROUP LLC (9%); PRUTECH SOLUTIONS, INC (6%); NTT DATA AMERICAS INC (5%); GOVCONNECTION INC (4%); SHI INTERNATIONAL CORP (4%); AGILANT SOLUTIONS INC (3%); DELL MARKETING LP (2%)",28.0
0901,TECHNOLOGY STRATEGY,Mixed,"Technology Strategy - 69% personnel/admin (Juvenile Justice PS 29%, Personal Services 20%, Admin 20%), but 30% IT vendors (Accenture 19%, Ivalua 11%). Mixed.",28950621,33394636,36376538,56599498,63398451,54645011,55129023,56269684,61600024,65123388,Payroll Summary (84%); PROF SERV COMPUTER SERVICES (10%); CONTRACTUAL SERVICES GENERAL (5%); DATA PROCESSING SUPPLIES (1%); PURCH DATA PROCESSING EQUIPT (0%); OFFICE EQUIPMENT (0%); NON OVERNIGHT TRVL EXP-GENERAL (0%); NON OVERNIGHT TRVL EXP-SPECIAL (0%); SUPPLIES + MATERIALS - GENERAL (0%); BOOKS-OTHER (0%),JUVENILE JUSTICE - PS (37%); ADMINISTRATION (26%); PERSONAL SERVICES (21%); ACCENTURE LLP (9%); Ivalua Inc (4%); COMPULINK TECHNOLOGIES INC (1%); GENESYS CONSULTING SERVICES INC (1%); WORLD WIDE TECHNOLOGY LLC (1%); SHI INTERNATIONAL CORP (0%); FURNITURE PRO CORP (0%),10.0
C481,CRRSA FOR SCHOOLS,Mixed,"CRRSA COVID relief for schools - 11% personnel, rest mixed: OverDrive digital library (10%), SHI (6%), Public Consulting (5%), social services. Mixed.",0,0,0,0,0,0,264505406,311122280,38774137,230250,PROF SERV CURRIC & PROF DEVEL (85%); PROF SERV DIRECT EDUC SERV (6%); NON OVERNIGHT TRVL EXP-GENERAL (4%); TRANSP OF PUPILS-NYCTA (2%); Payroll Summary (2%),NYC FIRST INC (85%); NATIONAL DANCE INSTITUTE INC (6%); LONG ISLAND UNIVERSITY (3%); S & J TOUR & BUS INC (2%); CATEGORICAL PROGRAMS - PS (2%); LEHMAN COLLEGE AUXILIARY ENTERPRISE CORP INC (1%),0.0
1602,R I TELECOMMUNICATIONS,Mixed,"Rikers Island Telecom - Securus ($4M prison phones), Remi (security), CDW. Mixed prison/IT services.",6574713,6545107,10193578,12845024,12010751,12823299,20444099,15947624,18244588,18918732,CHILD WELFARE SERVICES (23%); OTHR SERV AND CHRGS-GENERAL (21%); TELECOMMUNICATIONS MAINT (18%); EQUIPMENT GENERAL (17%); CONTRACTUAL SERVICES GENERAL (8%); PURCH DATA PROCESSING EQUIPT (8%); Payroll Summary (2%); OFFICE EQUIPMENT MAINTENANCE (2%); PROF SERV COMPUTER SERVICES (1%); PRINTING SUPPLIES (1%),CDW GOVERNMENT LLC (21%); SECURUS TECHNOLOGIES LLC (21%); WOODS SERVICES INC (16%); THE REMI GROUP LLC (10%); WORLD WIDE TECHNOLOGY LLC (4%); ROUTERATI INC (4%); HILLCREST EDUCATIONAL CENTERS INC (4%); SHI INTERNATIONAL CORP (2%); THE DEVEREUX FOUNDATION (2%); COMPULINK TECHNOLOGIES INC (2%),1.0
5000,CITYTIME,Mixed,"CityTime timekeeping system - 35% personnel (Admin-PS, Exec Admin), but 42% to IT vendors (IBM 20%, Mythics 7%, CDW 7%). Mixed spending.",7812380,9476578,8432725,6999432,7675050,9088125,9616196,8082340,9510373,9341445,DATA PROCESSING EQUIPMENT MAINTENANCE (54%); Payroll Summary (44%); PROF SERV COMPUTER SERVICES (2%); BOOKS-OTHER (0%); DATA PROCESSING SUPPLIES (0%); CONTRACTUAL SERVICES GENERAL (0%); TEMPORARY SERVICES (0%); TRAVELING EXPENSES (0%); OVERNIGHT TRVL EXP-SPECIAL (0%); NON OVERNIGHT TRVL EXP-SPECIAL (0%),INTERNATIONAL BUSINESS MACHINES CORP (36%); ADMINISTRATION-PERSONNEL (33%); MYTHICS LLC (10%); EXECUTIVE ADMINISTRATIVE (6%); AGENCYWIDE OPERATIONS - PS (4%); SHI INTERNATIONAL CORP (3%); ORION SYSTEMS INTEGRATORS LLC (2%); CDW GOVERNMENT LLC (2%); RAJ SOMAS (2%); COMPULINK TECHNOLOGIES INC (1%),2.0
0406,OTPS-OMB,Mixed,"OMB OTPS - 55% personnel (shelter/juvenile justice), Motorola ($1M), security. Overhead, unclear.",4376315,5540665,6020539,6323174,6876536,9768763,9233414,8582758,8855781,7881115,Payroll Summary (72%); DATA PROCESSING EQUIPMENT MAINTENANCE (7%); EQUIPMENT GENERAL (4%); OTHR SERV AND CHRGS-GENERAL (3%); BOOKS-OTHER (2%); SECURITY SERVICES (2%); CONTRACTUAL SERVICES GENERAL (2%); SUPPLIES + MATERIALS - GENERAL (2%); PROF SERV OTHER (1%); MAINT & REP GENERAL (1%),"SHELTER INTAKE AND PROGRAM - PS (59%); JUVENILE JUSTICE - PS (12%); JP MORGAN CHASE BANK NA (3%); MICROSOFT CORPORATION (2%); FJC SECURITY SERVICES INC (2%); ATLANTIC TACTICAL INC (1%); LANGUAGE LINE SERVICES, INC. (1%); WORLD WIDE TECHNOLOGY LLC (1%); IHS GLOBAL INC (1%); CDW GOVERNMENT LLC (1%)",0.0
9904,HHS-CONNECT OTPS,Mixed,"HHS-Connect system - 67% IT vendors (CDW 53%, InfoPeople 8%, Mythics 6%), but 20% Forest City Jay St (real estate lease for data center?). Mixed.",7397493,6182148,6608999,6852448,6669575,6360062,6890778,4831976,5155852,5537420,DATA PROCESSING EQUIPMENT MAINTENANCE (62%); RENTALS - LAND BLDGS & STRUCTS (20%); PROF SERV COMPUTER SERVICES (7%); EXPENSE ONLY FUNDED SBITA (6%); BOOKS-OTHER (3%); PROF SERV OTHER (1%); DATA PROCESSING SUPPLIES (1%); PURCH DATA PROCESSING EQUIPT (0%); PROMPT PAYMENT INTEREST (0%),CDW GOVERNMENT LLC (54%); FOREST CITY JAY STREET ASSOCIATES LLC (20%); WORLD WIDE TECHNOLOGY LLC (6%); SHI INTERNATIONAL CORP (5%); ENTERPRISE PEOPLE INC (5%); MYTHICS LLC (4%); INFOPEOPLE CORPORATION (3%); COGENT Infotech Corporation (1%); N/A (PRIVACY/SECURITY) (0%); DASTON CORPORATION (0%),13.0
3510,TELECOM OPERATION,Mixed,"Telecom operations - Mix of carriers (Crown Castle 17%, Verizon 17%, Cablevision 7%), IT vendors (Presidio 12%), and personnel (Gender Equity PS 13%).",8479158,6291369,4554315,5123280,3701803,5788476,4322327,5639837,4161529,3420684,TELEPHONE & OTHER COMMUNICATNS (50%); TELECOMMUNICATIONS MAINT (19%); Payroll Summary (12%); CONTRACTUAL SERVICES GENERAL (9%); DATA PROCESSING EQUIPMENT MAINTENANCE (5%); MAINT & REP GENERAL (4%); CLEANING SERVICES (0%); PURCH DATA PROCESSING EQUIPT (0%); DATA PROCESSING SUPPLIES (0%); TELECOMMUNICATIONS EQUIPMENT (0%),AT&T CORP (18%); CROWN CASTLE FIBER LLC (16%); VERIZON BUSINESS NETWORK SERVICES LLC (16%); CELLCO PARTNERSHIP (13%); COMMISSION ON GENDER EQUITY-PS (12%); DMK Partnership LLC (9%); PRESIDIO NETWORKED SOLUTIONS GROUP LLC (4%); THE REMI GROUP LLC (3%); T-MOBILE USA INC (2%); CABLEVISION LIGHTPATH (2%),0.0
0391,ADMINISTRATION SUPPORT,Mixed,"Admin support - 44% personnel (Admin/Ops PS), but 49% to IT vendors (Universal Mgmt Tech 20%, Invision 15%, Gartner 8%, ElectriFAI 6%). Mixed.",0,0,0,0,0,1400744,2098489,1725571,2495948,1690479,Payroll Summary (65%); OTHR SERV AND CHRGS-GENERAL (25%); PROF SERV OTHER (9%); CONTRACTUAL SERVICES GENERAL (1%),ADMIN/OPERATIONS PS (65%); GARTNER INC (20%); INVISION SOURCE LLC (8%); SANGHI CONSUTING INC (3%); BUSINESS LOGIC INCORPORATED (1%); International Data Corporation (1%); DUN & BRADSTREET INC D & B (1%),0.0
4170,MANAGEMENT INFORMATION SYSTEMS,Mixed,"DOT MIS - 41% Traffic Operations (likely personnel), but 59% to IT vendors (World Wide Tech, SHI, CDW, Quality & Assurance). Mixed spending.",1677709,3011721,1664315,4323627,3297607,1316339,2767956,1586405,2000899,1630529,Payroll Summary (45%); DATA PROCESSING EQUIPMENT MAINTENANCE (17%); PURCH DATA PROCESSING EQUIPT (11%); PROF SERV COMPUTER SERVICES (9%); DATA PROCESSING SUPPLIES (7%); TELECOMMUNICATIONS EQUIPMENT (6%); TEMPORARY SERVICES (2%); TRAINING PRGM CITY EMPLOYEES (1%); SUPPLIES + MATERIALS - GENERAL (1%); BOOKS-OTHER (0%),"TRAFFIC OPERATIONS (45%); QUALITY AND ASSURANCE TECHNOLOGY CORP (13%); CDW GOVERNMENT LLC (9%); SHI INTERNATIONAL CORP (8%); TECH BUSINESS PRODUCTS INC (6%); COMPULINK TECHNOLOGIES INC (4%); RIOMAR GROUP VENTURES,INC (3%); K SYSTEMS SOLUTIONS LLC (3%); NEW YORK STATE INDUSTRIES FOR THE DISABLED INC (2%); MAUREEN DATA SYSTEMS, INC. (1%)",9.0
3320,IT SERVICES - NETWORK ARCHITECTURE,Mixed,"IT Services Network Architecture - 42% personnel (PS), but 48% to IT vendors (Presidio 35%, CDW 7%, Tech Services PS 6%). Mixed.",1961157,2462344,2825704,4141253,4323772,4223460,1409243,1357053,1253704,2965534,Payroll Summary (35%); TELEPHONE & OTHER COMMUNICATNS (21%); CONTRACTUAL SERVICES GENERAL (13%); PROF SERV OTHER (12%); DATA PROCESSING EQUIPMENT MAINTENANCE (11%); PROF SERV COMPUTER SERVICES (6%); MAINT & REP GENERAL (2%); DATA PROCESSING SUPPLIES (0%); TAXES AND LICENSES (0%),DESIGN & ENGINEERING PS (33%); CenturyLInk Communications LLC (23%); CDW GOVERNMENT LLC (20%); PRESIDIO NETWORKED SOLUTIONS GROUP LLC (12%); OPTINET COMMUNICATIONS INC (6%); SHI INTERNATIONAL CORP (3%); COMPULINK TECHNOLOGIES INC (1%); PERSONAL SERVICES (1%); TECHNOLOGY SERVICES - PS (1%); DERIVE TECHNOLOGIES LLC (0%),6.0
6915,LAGUARDIA TECHNOLOGY FEES,Mixed,"LaGuardia technology fees - 26% personnel (CC PS), 35% IT vendors (Dell 16%, SHI 7%, Quality & Assurance 6%), 6% Crown Castle. Mixed.",1049753,1029750,937208,968830,1287511,1282897,1825242,1602105,1448908,1551957,OTHR SERV AND CHRGS-GENERAL (51%); Payroll Summary (24%); PURCH DATA PROCESSING EQUIPT (8%); TELEPHONE & OTHER COMMUNICATNS (7%); BOOKS-OTHER (6%); DATA PROCESSING EQUIPMENT MAINTENANCE (2%); OFFICE EQUIPMENT (1%); SUPPLIES + MATERIALS - GENERAL (0%); OFFICE EQUIPMENT MAINTENANCE (0%),COMMUNITY COLLEGE PS (24%); DELL MARKETING LP (14%); QUALITY AND ASSURANCE TECHNOLOGY CORP (10%); BLACKBOARD INC. (7%); CROWN CASTLE FIBER LLC (5%); EAB GLOBAL INC (5%); CARAHSOFT TECHNOLOGY CORP (4%); Software Information Resource Corp (4%); ELSEVIER B.V. SCIENCE DIRECT (2%); COURSEDOG INC (2%),0.0
1101,311 - CITY,Mixed,"311 operations - ~60% call center labor (King Teleservices $17M), staffing, security, HVAC. ~15% IT vendors (Mythics, CDW, Presidio). Mixed.",14210219,15399697,17224255,19872193,23110880,38136143,37949635,37950389,34277851,34240572,Payroll Summary (56%); TEMPORARY SERVICES (28%); TELEPHONE & OTHER COMMUNICATNS (8%); CONTRACTUAL SERVICES GENERAL (5%); SECURITY SERVICES (1%); DATA PROCESSING EQUIPMENT MAINTENANCE (1%); DATA PROCESSING SUPPLIES (1%); BOOKS-OTHER (0%); MAINT & REP GENERAL (0%); OTHR SERV AND CHRGS-GENERAL (0%),"311 PS (32%); KING TELESERVICES LLC (28%); WASTE DISPOSAL (8%); VERIZON BUSINESS NETWORK SERVICES LLC (8%); ADMINISTRATION & PLANNING (6%); CENTRAL ADMINISTRATION - PS (5%); SECOND DEPUTY COMPT-PS (4%); LANGUAGE LINE SERVICES, INC. (3%); FUND FOR PUBLIC HEALTH IN NEW YORK INC (2%); CDW GOVERNMENT LLC (1%)",0.0
